FECHA,is CreateSubscreiber and charge2bill,Wait Provision Process,archiveChildOrder,Complex Gateway,Modify Acct Info,syncGAP,Start Event,BachInvOutBound4Book,Is Migrationor notN,Order Decompose,Modify Subscription Inst,Judge need sync to cbs,Sync CBS ChangeSubOffering,create SM user,Waiting OSS Result,Is the customer archive,CM Changing Bill Cycles,Waiting SOM(OSS) Result,IS Sync to AA or not,CBS CreateSubs,Sync AA Changing Bill Cycle,Need Payment,Order Notification,PayRelation2CM,Judge ExtNodeCode PROVISIONING,AA ChangeSubIdentity,Reservation Confirmation,Need SynCBS55ApplyInstallment,sync Altamira Manage FN,SyncHurto,syncCBS55AddGrpMem,Judge Need Waiting Provision Callback,mth callback result,Sync Attach Offering to AA,Rollback Order Completion,Sync Create Cust Info To CBS,Sync Cust Info To Billing,Sync Primary Offering to AA,Sync info to AA2,_1,StockOut Confirmation,OSB MTH SYNC,Rollback Inv,sync CBS55ChangeSubInfo,Subscription Inst Archive,Customer Order Archive,Create Order,Sync Create Acct Info To CBS,Sync CBS ChangeOfferingProperty,RollbackInv,syncCBS55ChangeSubInfo,SubscriptionInstArchive,CustomerOrderArchive,CreateOrder,SyncCreateAcctInfoToCBS,isCreateSubscreiberandcharge2bill,WaitProvisionProcess,ComplexGateway,ModifyAcctInfo,StartEvent,IsMigrationornotN,OrderDecompose,ModifySubscriptionInst,Judgeneedsynctocbs,SyncCBSChangeSubOffering,createSMuser,WaitingOSSResult,Isthecustomerarchive,CMChangingBillCycles,WaitingSOM(OSS)Result,ISSynctoAAornot,SyncAAChangingBillCycle,NeedPayment,OrderNotification,JudgeExtNodeCodePROVISIONING,AAChangeSubIdentity,ReservationConfirmation,NeedSynCBS55ApplyInstallment,syncAltamiraManageFN,CBSCreateSubs,JudgeNeedWaitingProvisionCallback,mthcallbackresult,SyncAttachOfferingtoAA,SyncCreateCustInfoToCBS,SyncCustInfoToBilling,SyncPrimaryOfferingtoAA,RollbackOrderCompletion,StockOutConfirmation,OSBMTHSYNC,SyncCBS,SyncinfotoAA2,SyncInfotoAA1,PrintOrderInvoice,JudgeAutoCancelOrder,SyncBillMediumToCBS,CreateSMUser,SyncChangeCustInfoToCBS,CancelSlot,overtimeDeal,OrderCompletion,JudgeNeedSynsBilling,JudgeNeedSyncBilling,ModifyCustomerInfo,syncAltamiraRemoveSubscriberPartner,Sync2CBS,SyncCBSCharge2BillRollback,RollbackCustAcctInfo,JudgeInstallmentInfo,syncCBS55ChangeCustDFTAcct,SyncCBSCharge2Bill,IsMNP,syncCBS55DelGrpMem,NotifyOrderScenarioPFSybc,ArchiveInstanceData,IskeepproductornotN,JudgefmcOrder,RegisterDeviceWhiteLst,UpdateSubscriptionInfo,InventoryOperation,ArchiveInstance,SynsAA,OSSProvision,CreateDefaultRollbackFulfillOrder,ReCalculateTime,SyncChangeAcctInfoToCBS,BuildReceipt,archiveInstanceData,SyncPayRelByAcct,ArchivePayRelation,predeactivednextbillwait,ISNeedOSSWait,waitcreatsubs,RemoveRedList,ArchiveCustAcctInfo,UpdateWishExecDate
25-08-2020 15:20,37,2,1,24,2,10,7,3,6,3,1,1,19,2,391,5,1,341,31,8,1,18,2,4,3,4,2,14,2,6,1,2,2,2,1,35,3,56,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:25,74,4,2,48,4,20,14,6,12,6,2,2,38,4,782,10,2,682,64,14,2,36,4,8,6,8,4,28,4,12,2,4,4,4,2,70,6,112,2,4,2,2,6,68,132,44,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:30,74,4,2,48,4,20,14,6,12,6,2,2,38,4,780,10,2,684,62,16,2,36,4,8,6,6,4,28,4,12,2,4,4,4,2,70,6,112,2,4,2,2,6,68,132,44,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:35,74,4,2,48,4,20,14,6,12,6,2,2,38,4,780,10,2,684,64,18,2,36,4,8,6,8,4,28,4,12,2,4,4,4,2,70,6,112,2,4,2,2,6,68,132,44,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:40,74,4,2,48,4,20,14,6,12,6,2,2,38,4,778,10,2,684,70,14,2,36,4,8,6,6,4,28,4,12,2,4,4,4,2,70,6,112,2,4,2,2,6,68,132,44,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:45,111,6,3,72,6,30,21,9,18,9,3,3,57,6,1167,15,3,1023,102,24,3,54,6,12,9,9,6,42,6,18,3,6,6,6,3,105,9,168,3,6,3,3,9,102,198,66,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:50,74,4,2,48,4,20,14,6,12,6,2,2,38,4,778,10,2,682,68,16,2,36,4,8,6,6,4,28,4,12,2,4,4,4,2,70,6,112,2,4,2,2,6,68,132,44,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:54,37,2,1,24,2,10,7,3,6,3,1,1,19,2,388,5,1,341,36,8,1,18,2,4,3,4,2,14,2,6,1,2,2,2,1,35,3,56,1,2,1,1,3,34,66,22,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:55,74,4,2,48,4,20,14,6,12,6,2,2,38,4,776,10,2,682,72,16,2,36,4,8,6,8,4,28,4,12,2,4,4,4,2,70,6,112,2,4,2,2,6,68,132,44,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-08-2020 15:57,37,2,1,24,2,10,7,3,6,3,1,1,19,2,388,5,1,341,36,8,1,18,2,4,3,4,2,14,2,6,1,2,2,2,1,35,3,56,1,2,1,1,3,34,66,22,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
